episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/td_error,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
0.0,0.0,0.0,953.0,1,0,1000,1000,False,1,1,3759a48d8bf9448bba25b44fef3c16db,2021-10-30_19-23-57,1635639837,12.598413228988647,12.598413228988647,10038,kevin-MS-7C95,10.0.10.216,12.598413228988647,0,1,cc400_00000,[0.0],[953],0.07196144386009498,0.8197114184186175,0.028652387422757906,11.216206031364877,0.0,0.105,305040.291,305.28,104.822,1000,1000,32,32,1000,1,4.955555555555555,43.56666666666666,"[-0.15356825 -0.21045463 -0.20235692  0.5683323  -0.21925507 -0.19249488
  0.37915158 -0.2998513   0.4489652  -0.06933649 -0.00699855 -0.11678946
 -0.18415044  0.02285707  0.06838842 -0.26529747 -0.16482843  0.69991875
  0.20042928 -0.01119885 -0.11217648  0.26402664 -0.16482843  0.04641785
  0.1135508   0.10527265  0.06354256 -0.28818932 -0.1356771   0.09907719
 -0.1298655  -0.02054349]",0.0005000000237487257,0.05456139,-0.11347059,0.27763206,0.0041271606
0.0,0.0,0.0,483.3333333333333,2,0,2000,2000,False,3,2,3759a48d8bf9448bba25b44fef3c16db,2021-10-30_19-24-07,1635639847,9.411532640457153,22.0099458694458,10038,kevin-MS-7C95,10.0.10.216,22.0099458694458,0,2,cc400_00000,"[0.0, 0.0, 0.0]","[953, 321, 176]",0.07463705620439899,0.8214943841923911,0.030037397751975104,9.407851841066387,0.0,0.101,316476.605,7.665,4174.683,2000,2000,8032,8032,1504,2,12.478571428571428,44.80714285714286,"[-0.00181687  0.24641237  0.055236    0.27856964  0.00233154  0.13815951
 -0.16923913 -0.3432138  -0.2365346  -0.28364992  0.04565507 -0.29648614
 -0.04581712 -0.08865446  0.00390965 -0.29443264 -0.1066792  -0.00953799
 -0.60739183  0.00791478 -0.4721369  -0.28597736 -0.24373102 -0.28597736
  0.13872147 -0.22947839 -0.08784746 -0.02080626 -0.8547106   0.06058326
 -0.24192154 -0.15964982]",0.0005000000237487257,-1.0866454,-3.5654852,0.5425658,-0.13713115
0.0,0.0,0.0,456.6666666666667,3,0,3000,3000,False,6,3,3759a48d8bf9448bba25b44fef3c16db,2021-10-30_19-24-16,1635639856,9.102708578109741,31.112654447555542,10038,kevin-MS-7C95,10.0.10.216,31.112654447555542,0,3,cc400_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[953, 321, 176, 661, 140, 489]",0.07562530714694093,0.8147192709197543,0.030400828439672217,8.4714449479152,0.0,0.098,327600.02,7.458,4290.766,3000,3000,16032,16032,2512,4,12.761538461538462,45.04615384615385,"[-0.03672478 -0.17351341  0.13815442  0.18177721  0.05825591  0.1034993
 -0.25072598 -0.10227133 -0.1933136   0.06222358  0.03336928  0.17412892
 -0.18656802  0.07742184  0.04474094 -0.12449908  0.09446394  0.00709057
 -0.0642525  -0.13406771 -0.00524228 -0.0117721   0.05133137 -0.21033958
 -0.27104402  0.07547253 -0.21331406  0.13583735  0.0419476   0.01369292
  0.01986368 -0.5724923 ]",0.0005000000237487257,-0.4556784,-2.865256,0.7210265,-0.038652167
0.0,0.0,0.0,327.3333333333333,6,0,4000,4000,False,12,4,3759a48d8bf9448bba25b44fef3c16db,2021-10-30_19-24-25,1635639865,9.083550214767456,40.196204662323,10038,kevin-MS-7C95,10.0.10.216,40.196204662323,0,4,cc400_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[953, 321, 176, 661, 140, 489, 460, 76, 26, 173, 61, 392]",0.07676870602420971,0.8065484031883704,0.03067658668062716,7.76106408281503,0.0,0.104,306363.223,7.165,4466.257,4000,4000,24032,24032,3520,6,13.069230769230769,45.55384615384615,"[-0.3599012  -0.16796333 -0.00065291 -0.2384708   0.00398666  0.12145247
  0.00902268  0.03603697 -0.05692834 -0.10195726 -0.11645278  0.16490746
  0.01689208 -0.11655819 -0.03098831 -0.03168631 -0.2140882  -0.0403908
 -0.06799817 -0.09234238 -0.00811425  0.03832626 -0.07227212 -0.13233924
 -0.05001238  0.08178413 -0.11298871 -0.00672013 -0.16572654 -0.08632976
 -0.03325346 -0.07648975]",0.0005000000237487257,-0.48220527,-2.4212074,0.6885847,-0.05963177
0.0,0.0,0.0,353.92857142857144,2,0,5000,5000,True,14,5,3759a48d8bf9448bba25b44fef3c16db,2021-10-30_19-24-34,1635639874,9.34022307395935,49.53642773628235,10038,kevin-MS-7C95,10.0.10.216,49.53642773628235,0,5,cc400_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[953, 321, 176, 661, 140, 489, 460, 76, 26, 173, 61, 392, 412, 615]",0.07695014411537084,0.8044209505059869,0.030766947519377467,7.625306588578247,0.0,0.105,304901.699,7.342,4358.228,5000,5000,32032,32032,4528,8,13.084615384615384,46.084615384615375,"[-0.07748377 -0.2866618  -0.05923486  0.01100165  0.10770784 -0.04137647
 -0.11187223  0.01784873  0.0688085   0.08824044  0.3928176  -0.03354868
  0.19338137 -0.09499609 -0.00078255  0.06069791  0.03371572 -0.11973131
 -0.05149508 -0.06606376 -0.11875594 -0.10224068 -0.02964208 -0.00418678
 -0.02210689  0.3102785  -0.03854659 -0.06606376  0.20164323 -0.04377228
  0.15261531 -0.09781438]",0.0005000000237487257,-0.29955143,-1.8231065,0.63446677,0.005386901
