episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration
2.6399999409914,0.079999998211861,0.672636244652868,127.602591792657,7871,13,1005732,0,1005732,False,7871,1
2.67999994009733,0.119999997317791,0.680251524836261,129.143737166324,7792,13,2011464,0,2011464,False,15663,2
2.47999994456768,0.119999997317791,0.683870458962137,128.238908720041,7844,13,3017196,0,3017196,False,23507,3
2.39999994635582,0.079999998211861,0.677704235297536,127.935225248155,7858,13,4022928,0,4022928,False,31365,4
2.55999994277954,0.119999997317791,0.672566356648386,127.1,7910,13,5028660,0,5028660,False,39275,5
2.75999993830919,0.079999998211861,0.677935533688853,126.686555891239,7944,13,6034392,0,6034392,False,47219,6
2.6399999409914,0.119999997317791,0.679648168365085,128.190312300829,7845,13,7040124,0,7040124,False,55064,7
2.59999994188547,0.119999997317791,0.67181862733424,127.334726443769,7896,13,8045856,0,8045856,False,62960,8
2.47999994456768,0.119999997317791,0.678127535863076,128.313647959184,7840,13,9051588,0,9051588,False,70800,9
2.39999994635582,0.119999997317791,0.677928130080082,127.678303922813,7877,13,10057320,0,10057320,False,78677,10
2.51999994367361,0.119999997317791,0.681851789376183,128.16554010968,7841,13,11063052,0,11063052,False,86518,11
2.43999994546175,0.119999997317791,0.675846235681309,126.806805293006,7935,13,12068784,0,12068784,False,94453,12
2.55999994277954,0.119999997317791,0.677541453288326,129.339719686254,7777,13,13074516,0,13074516,False,102230,13
2.59999994188547,0.079999998211861,0.682330231662311,129.350694444444,7776,13,14080248,0,14080248,False,110006,14
2.59999994188547,0.119999997317791,0.674732809346027,127.978244274809,7860,13,15085980,0,15085980,False,117866,15
2.39999994635582,0.079999998211861,0.681619251994958,128.82282859339,7806,13,16091712,0,16091712,False,125672,16
2.27999994903803,0.079999998211861,0.682158109913536,129.55588462529,7766,13,17097444,0,17097444,False,133438,17
2.95999993383884,0.119999997317791,0.681125812590221,128.056418746816,7852,13,18103176,0,18103176,False,141290,18
2.35999994724989,0.119999997317791,0.680889664496232,127.776309100153,7868,13,19108908,0,19108908,False,149158,19
2.51999994367361,0.119999997317791,0.677856770026487,125.969203805709,7988,13,20114640,0,20114640,False,157146,20
2.39999994635582,0.119999997317791,0.682343315954564,128.24301212508,7835,13,21120372,0,21120372,False,164981,21
2.39999994635582,0.119999997317791,0.677492891743622,129.7010575187,7754,13,22126104,0,22126104,False,172735,22
2.39999994635582,0.079999998211861,0.676850983335103,128.837173579109,7812,13,23131836,0,23131836,False,180547,23
2.47999994456768,0.119999997317791,0.679826758464094,128.054515348363,7851,13,24137568,0,24137568,False,188398,24
2.71999993920326,0.119999997317791,0.676540143748405,126.850586306897,7931,13,25143300,0,25143300,False,196329,25
2.55999994277954,0.119999997317791,0.668538797842381,127.527777777778,7884,13,26149032,0,26149032,False,204213,26
2.51999994367361,0.079999998211861,0.678146288940296,128.388484616367,7833,13,27154764,0,27154764,False,212046,27
2.67999994009733,0.119999997317791,0.685088269259838,129.69828586158,7759,13,28160496,0,28160496,False,219805,28
2.39999994635582,0.119999997317791,0.680472203448031,128.949826767612,7793,13,29166228,0,29166228,False,227598,29
2.47999994456768,0.119999997317791,0.676492012214077,127.332574031891,7902,13,30171960,0,30171960,False,235500,30
2.35999994724989,0.079999998211861,0.677822117239591,127.012379989894,7916,13,31177692,0,31177692,False,243416,31
2.35999994724989,0.079999998211861,0.68067742897351,129.090839107005,7794,13,32183424,0,32183424,False,251210,32
2.55999994277954,0.119999997317791,0.678741296594399,127.062049791482,7913,13,33189156,0,33189156,False,259123,33
2.47999994456768,0.119999997317791,0.675178261777007,127.581398299708,7881,13,34194888,0,34194888,False,267004,34
2.75999993830919,0.119999997317791,0.678681192032931,127.606898300786,7886,13,35200620,0,35200620,False,274890,35
2.59999994188547,0.119999997317791,0.67550982617102,127.655238095238,7875,13,36206352,0,36206352,False,282765,36
2.35999994724989,0.079999998211861,0.678886888067972,128.449195813122,7834,13,37212084,0,37212084,False,290599,37
2.55999994277954,0.079999998211861,0.675232910043083,126.981946723899,7921,13,38217816,0,38217816,False,298520,38
2.6399999409914,0.119999997317791,0.688946675303906,129.482874066443,7766,13,39223548,0,39223548,False,306286,39
2.67999994009733,0.079999998211861,0.679036682070054,128.188200815494,7848,13,40229280,0,40229280,False,314134,40
2.59999994188547,0.119999997317791,0.684706774819067,129.282021604938,7776,13,41235012,0,41235012,False,321910,41
2.51999994367361,0.119999997317791,0.676376593366962,128.150210217862,7849,13,42240744,0,42240744,False,329759,42
2.59999994188547,0.119999997317791,0.680903622304549,128.307977026165,7835,13,43246476,0,43246476,False,337594,43
2.6399999409914,0.119999997317791,0.684593778955893,129.576155529806,7767,13,44252208,0,44252208,False,345361,44
2.55999994277954,0.119999997317791,0.676825140190658,127.463040446304,7887,13,45257940,0,45257940,False,353248,45
2.47999994456768,0.119999997317791,0.676984172091501,127.207084123972,7905,13,46263672,0,46263672,False,361153,46
2.43999994546175,0.079999998211861,0.678287446612794,128.203236493374,7848,13,47269404,0,47269404,False,369001,47
2.35999994724989,0.119999997317791,0.682881428035379,129.577319587629,7760,13,48275136,0,48275136,False,376761,48
2.6399999409914,0.119999997317791,0.688643304970787,130.437224383917,7710,13,49280868,0,49280868,False,384471,49
2.35999994724989,0.119999997317791,0.681072523636946,130.32085492228,7720,13,50286600,0,50286600,False,392191,50
2.67999994009733,0.119999997317791,0.679142481667397,126.711979823455,7930,13,51292332,0,51292332,False,400121,51
