episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/td_error,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
0.0,0.0,0.0,326.3333333333333,3,0,1000,1000,False,3,1,983a5e60bc144556a417751c1b4db10f,2021-10-30_20-08-13,1635642493,55.284515380859375,55.284515380859375,21583,kevin-MS-7C95,10.0.10.216,55.284515380859375,0,1,e2ac3_00000,"[0.0, 0.0, 0.0]","[416, 427, 136]",0.14553179631342777,1.2162489133638579,0.05347697765796216,53.49049415740814,0.0,0.117,273913.731,121.486,263.404,1000,1000,32,32,1000,1,9.153164556962025,48.510126582278474,"[ 0.2376275   0.2983291  -0.10150242  0.21133247 -0.04465561  0.2630004
 -0.09892871  0.25611603  0.07741028  0.0172667  -0.0666812  -0.01286098
  0.06318016  0.06309383  0.16781639  0.19739562  0.52393776  0.25095493
  0.30319512  0.32972628 -0.02205162 -0.16448843  0.28193673 -0.03157102
 -0.07682681  0.21133247  0.25867805  0.17588729  0.2386095   0.22301987
  0.2785219  -0.03932206]",0.0005000000237487257,0.06372593,-0.26401514,0.43162635,0.13342124
0.0,0.0,0.0,459.5,1,0,2000,2000,False,4,2,983a5e60bc144556a417751c1b4db10f,2021-10-30_20-08-23,1635642503,9.530471563339233,64.81498694419861,21583,kevin-MS-7C95,10.0.10.216,64.81498694419861,0,2,e2ac3_00000,"[0.0, 0.0, 0.0, 0.0]","[416, 427, 136, 859]",0.13811974291363535,1.1678344320188412,0.05117501406762863,47.55183191490021,0.0,0.108,296286.375,7.307,4379.659,2000,2000,8032,8032,1504,2,19.328571428571426,50.08571428571428,"[ 1.0019789   0.7147751  -0.12784529 -0.34013653 -0.08871412 -0.28939724
  0.29995584  0.02371073  0.16353798  0.04730415  0.41580677  0.21741676
 -0.4811592   0.0168786  -0.18750668 -0.3968978   0.02371073  0.68899226
  0.2140994  -0.2960868  -0.29353762  0.09174538 -0.31955338 -0.414721
  0.10245562 -0.5113225   0.8341346  -0.11486673  0.80962753  0.8001456
  0.2433505   0.37028313]",0.0005000000237487257,-6.9902387,-9.545411,-3.2452571,0.10056765
0.0,0.0,0.0,359.125,4,0,3000,3000,False,8,3,983a5e60bc144556a417751c1b4db10f,2021-10-30_20-08-33,1635642513,9.592815637588501,74.40780258178711,21583,kevin-MS-7C95,10.0.10.216,74.40780258178711,0,3,e2ac3_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[416, 427, 136, 859, 585, 173, 126, 151]",0.12210129208801027,1.0652873461778232,0.04617746581708447,34.683036957641505,0.0,0.099,323650.176,7.865,4068.56,3000,3000,16032,16032,2512,4,18.657142857142855,50.664285714285704,"[-0.04037142  0.3411193  -1.9994204   0.96223783  0.93464184  0.16737366
 -0.35905838 -0.15023327  0.8196461   0.2744074   0.8525605   0.27967548
 -0.5570631   0.1609006   0.94629097  0.12050629  0.36091948 -0.11778545
  0.36915112  0.25235987 -0.06683826 -0.545959    0.08829546 -0.00696325
  0.24055195  0.21290588  0.34921122 -0.03933382  0.55253124 -0.14212751
  0.10945702  0.72476196]",0.0005000000237487257,-6.3470707,-8.454366,-1.9994204,0.15919848
0.0,0.0,0.0,278.7857142857143,6,0,4000,4000,False,14,4,983a5e60bc144556a417751c1b4db10f,2021-10-30_20-08-42,1635642522,9.749076843261719,84.15687942504883,21583,kevin-MS-7C95,10.0.10.216,84.15687942504883,0,4,e2ac3_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[416, 427, 136, 859, 585, 173, 126, 151, 231, 323, 166, 99, 73, 138]",0.11368828690098255,1.0116433434267043,0.04344817024351871,27.476670252802325,0.0,0.106,302360.279,7.558,4233.984,4000,4000,24032,24032,3520,6,18.871428571428574,51.271428571428565,"[-0.82527685  0.4649415  -0.5412998  -0.16554928  0.29240894  0.0715909
  0.9240594   0.30935192 -0.04124498 -0.357728    0.09716821  0.5188284
  0.3712945   0.34912252 -0.3281455   0.05215168  0.64135265  0.3046217
  0.26743793  0.31303263  0.48979425  0.7647538   0.30436993  0.08986878
  0.4816556   0.31235695  0.77388287  0.23782778  0.04831123  0.77971697
 -0.14003134  0.28856468]",0.0005000000237487257,-6.3187957,-8.059244,-3.4927049,0.22341219
0.0,0.0,0.0,235.76190476190476,7,0,5000,5000,True,21,5,983a5e60bc144556a417751c1b4db10f,2021-10-30_20-08-52,1635642532,9.438594579696655,93.59547400474548,21583,kevin-MS-7C95,10.0.10.216,93.59547400474548,0,5,e2ac3_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[416, 427, 136, 859, 585, 173, 126, 151, 231, 323, 166, 99, 73, 138, 163, 148, 98, 182, 209, 141, 107]",0.10904445576193256,0.9788783925032968,0.04182635171916075,23.474957198705035,0.0,0.112,285144.95,7.568,4228.142,5000,5000,32032,32032,4528,8,18.461538461538463,51.52307692307693,"[-8.87765884e-02 -6.49772167e-01 -2.31773853e-02  1.63701057e-01
 -9.98574421e-02 -1.35874748e-02  6.34410381e-02 -4.80820179e-01
 -2.91911602e-01 -1.33768320e-01 -7.97020912e-01  5.80691934e-01
  1.48660183e-01 -8.72619987e-01 -2.96825409e-01  3.25626612e-01
 -6.91189766e-02  2.58273125e-01 -1.37184143e-01  2.34619617e-01
 -1.52788252e-01 -2.16895819e-01 -1.50913715e-01 -1.06473446e-01
 -1.12168312e-01  9.69219208e-02  1.22200489e-01  3.12371731e-01
  3.05489063e-01  4.31858778e-01 -7.04050064e-04 -1.00206852e-01]",0.0005000000237487257,-4.618901,-7.240962,-0.03522058,-0.054710485
